?cosing_ref	?gene_count	?cosing_inci	?cas_list	?function_list
<http://example.org/cosing/ref/38578>	550	"THEOPHYLLINE"	"https://identifiers.org/cas/58-55-9"	"SKIN CONDITIONING,TONIC"
<http://example.org/cosing/ref/74864>	546	"CAPSAICIN"	"https://identifiers.org/cas/404-86-4"	"FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/76338>	544	"GALLIC ACID"	"https://identifiers.org/cas/149-91-7"	"ANTIOXIDANT"
<http://example.org/cosing/ref/37946>	542	"SODIUM LAURYL SULFATE"	"https://identifiers.org/cas/151-21-3"	"CLEANSING,DENATURANT,FOAMING,SURFACTANT - CLEANSING,SURFACTANT - EMULSIFYING"
<http://example.org/cosing/ref/87536>	499	"LITHIUM CHLORIDE"	"https://identifiers.org/cas/7447-41-8"	"NOT REPORTED"
<http://example.org/cosing/ref/85793>	486	"COLLOIDAL GOLD"	"https://identifiers.org/cas/7440-57-5"	"ANTIMICROBIAL,SKIN CONDITIONING"
<http://example.org/cosing/ref/32827>	486	"CI 77480"	"https://identifiers.org/cas/7440-57-5"	"COLORANT"
<http://example.org/cosing/ref/56471>	486	"GOLD"	"https://identifiers.org/cas/7440-57-5"	"SURFACE MODIFIER,SKIN CONDITIONING - MISCELLANEOUS,COLORANT,SLIP MODIFIER"
<http://example.org/cosing/ref/37312>	473	"PROPYLPARABEN"	"https://identifiers.org/cas/94-13-3"	"PRESERVATIVE,PERFUMING"
<http://example.org/cosing/ref/59568>	469	"PIPERONYL BUTOXIDE"	"https://identifiers.org/cas/51-03-6"	"SKIN PROTECTING"
<http://example.org/cosing/ref/31690>	468	"BUMETRIZOLE"	"https://identifiers.org/cas/3896-11-5"	"UV ABSORBER"
<http://example.org/cosing/ref/84500>	462	"CAPTAN"	"https://identifiers.org/cas/133-06-2"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/83503>	458	"IRON POWDER"	"https://identifiers.org/cas/7439-89-6"	"REDUCING,OPACIFYING"
<http://example.org/cosing/ref/34801>	442	"KOJIC ACID"	"https://identifiers.org/cas/501-30-4"	"ANTIOXIDANT"
<http://example.org/cosing/ref/40796>	437	"2-METHYLPROPANOL"	"https://identifiers.org/cas/78-83-1"	"PERFUMING"
<http://example.org/cosing/ref/38992>	425	"CITROL"	"https://identifiers.org/cas/624-15-7"	"PERFUMING"
<http://example.org/cosing/ref/40603>	424	"PHENETHYL ISOTHIOCYANATE"	"https://identifiers.org/cas/2257-09-2"	"PERFUMING"
<http://example.org/cosing/ref/34021>	415	"GLUTATHIONE"	"https://identifiers.org/cas/70-18-8"	"REDUCING"
<http://example.org/cosing/ref/85731>	401	"DMSO"	"https://identifiers.org/cas/67-68-5"	"SOLVENT"
<http://example.org/cosing/ref/35228>	398	"MENTHOL"	"https://identifiers.org/cas/1490-04-6"	"SOOTHING,DENATURANT,FRAGRANCE,REFRESHING"
<http://example.org/cosing/ref/90748>	396	"HYPOCHLOROUS ACID"	"https://identifiers.org/cas/7790-92-3"	"ANTI-SEBUM,ANTIMICROBIAL,DEODORANT,OXIDISING"
<http://example.org/cosing/ref/38968>	389	"ZINC OXIDE"	"https://identifiers.org/cas/1314-13-2"	"ANTIMICROBIAL,UV ABSORBER,BULKING,ORAL CARE,SKIN PROTECTING,COLORANT,UV FILTER,LIGHT STABILIZER"
<http://example.org/cosing/ref/98572>	389	"CI 77947"	"https://identifiers.org/cas/1314-13-2"	"COLORANT"
<http://example.org/cosing/ref/84505>	388	"COAL TAR"	"https://identifiers.org/cas/8007-45-2"	"ANTI-SEBORRHEIC,ANTIMICROBIAL,DENATURANT"
<http://example.org/cosing/ref/35204>	385	"MELATONIN"	"https://identifiers.org/cas/73-31-4"	"ANTIOXIDANT"
<http://example.org/cosing/ref/83795>	364	"PHENETHYL CAFFEATE"	"https://identifiers.org/cas/104594-70-9"	"ANTIOXIDANT"
<http://example.org/cosing/ref/74367>	360	"AMINOMETHYL PROPANOL"	"https://identifiers.org/cas/124-68-5"	"BUFFERING"
<http://example.org/cosing/ref/84498>	342	"BUTYL BENZYL PHTHALATE"	"https://identifiers.org/cas/85-68-7"	"PLASTICISER"
<http://example.org/cosing/ref/38579>	337	"THIABENDAZOLE"	"https://identifiers.org/cas/148-79-8"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/40594>	337	"ALPHA-PHELLANDRENE"	"https://identifiers.org/cas/99-83-2"	"PERFUMING"
<http://example.org/cosing/ref/34010>	329	"GLUCOSAMINE"	"https://identifiers.org/cas/3416-24-8"	"HAIR CONDITIONING,ANTISTATIC"
<http://example.org/cosing/ref/96868>	325	"DEOXYCHOLIC ACID"	"https://identifiers.org/cas/83-44-3"	"SKIN CONDITIONING - EMOLLIENT,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/84967>	324	"METHOXYETHANOL"	"https://identifiers.org/cas/109-86-4"	"SOLVENT,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/96276>	324	"METHOXYETHANOL"	"https://identifiers.org/cas/109-86-4"	"SOLVENT,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/74770>	308	"BUTYRIC ACID"	"https://identifiers.org/cas/107-92-6"	"FRAGRANCE"
<http://example.org/cosing/ref/88849>	305	"URSODIOL"	"https://identifiers.org/cas/128-13-2"	"SKIN PROTECTING,SKIN CONDITIONING"
<http://example.org/cosing/ref/74991>	305	"CHOLESTEROL"	"https://identifiers.org/cas/57-88-5"	"SKIN CONDITIONING - EMOLLIENT,VISCOSITY CONTROLLING,SKIN CONDITIONING,SURFACTANT - EMULSIFYING,LIGHT STABILIZER"
<http://example.org/cosing/ref/31368>	305	"ADENOSINE CYCLIC PHOSPHATE"	"https://identifiers.org/cas/60-92-4"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/92469>	304	"TALLOW"	"https://identifiers.org/cas/61789-97-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31371>	304	"ADEPS BOVIS"	"https://identifiers.org/cas/61789-97-7"	"SKIN CONDITIONING - EMOLLIENT"
<http://example.org/cosing/ref/74362>	293	"ARBUTIN"	"https://identifiers.org/cas/497-76-7"	"SKIN CONDITIONING - MISCELLANEOUS,ANTIOXIDANT,BLEACHING"
<http://example.org/cosing/ref/77906>	279	"OLEIC ACID"	"https://identifiers.org/cas/112-80-1"	"SKIN CONDITIONING - EMOLLIENT,SURFACTANT - EMULSIFYING"
<http://example.org/cosing/ref/95283>	275	"TOLUENE DIISOCYANATE"	"https://identifiers.org/cas/584-84-9|https://identifiers.org/cas/91-08-7"	"NOT REPORTED"
<http://example.org/cosing/ref/84502>	265	"CHOLECALCIFEROL"	"https://identifiers.org/cas/67-97-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85203>	260	"APIGENIN"	"https://identifiers.org/cas/520-36-5"	"HAIR CONDITIONING,ANTIOXIDANT"
<http://example.org/cosing/ref/83242>	259	"PHLORIDZIN"	"https://identifiers.org/cas/60-81-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85041>	258	"CHROMIUM"	"https://identifiers.org/cas/7440-47-3"	"COLORANT"
<http://example.org/cosing/ref/31370>	257	"ADENOSINE TRIPHOSPHATE"	"https://identifiers.org/cas/56-65-5"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/32142>	256	"BENZOPHENONE-3"	"https://identifiers.org/cas/131-57-7"	"UV ABSORBER,UV FILTER,LIGHT STABILIZER"
<http://example.org/cosing/ref/35773>	251	"OXYQUINOLINE"	"https://identifiers.org/cas/148-24-3"	"ANTIMICROBIAL,CHELATING"
<http://example.org/cosing/ref/91424>	250	"DAIDZEIN"	"https://identifiers.org/cas/486-66-8"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/33910>	248	"EUGENOL"	"https://identifiers.org/cas/97-53-0"	"DENATURANT,TONIC,PERFUMING"
<http://example.org/cosing/ref/96389>	247	"DIISONONYL PHTHALATE"	"https://identifiers.org/cas/28553-12-0"	"ANTICAKING"
<http://example.org/cosing/ref/74144>	247	"ACETALDEHYDE"	"https://identifiers.org/cas/75-07-0"	"FRAGRANCE"
<http://example.org/cosing/ref/74813>	246	"CAPRYLIC ACID"	"https://identifiers.org/cas/124-07-2"	"CLEANSING,FRAGRANCE,SURFACTANT - CLEANSING,SURFACTANT - EMULSIFYING,PERFUMING"
<http://example.org/cosing/ref/87221>	241	"NITROPHENOL"	"https://identifiers.org/cas/88-75-5|https://identifiers.org/cas/100-02-7|https://identifiers.org/cas/554-84-7"	"HAIR DYEING"
<http://example.org/cosing/ref/55087>	240	"CARNOSIC ACID"	"https://identifiers.org/cas/3650-09-7"	"ANTIOXIDANT"
<http://example.org/cosing/ref/79461>	228	"RESORCINOL"	"https://identifiers.org/cas/108-46-3"	"DENATURANT,HAIR DYEING,ANTIOXIDANT,PERFUMING"
<http://example.org/cosing/ref/57466>	228	"LYCOPENE"	"https://identifiers.org/cas/502-65-8"	"ANTIOXIDANT"
<http://example.org/cosing/ref/32804>	228	"CI 75125"	"https://identifiers.org/cas/502-65-8"	"COLORANT"
<http://example.org/cosing/ref/74520>	225	"BETAINE"	"https://identifiers.org/cas/107-43-7"	"HAIR CONDITIONING,ANTISTATIC,VISCOSITY CONTROLLING,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/32815>	225	"CI 77015"	"https://identifiers.org/cas/1309-37-1"	"COLORANT"
<http://example.org/cosing/ref/32829>	225	"CI 77491"	"https://identifiers.org/cas/1309-37-1|https://identifiers.org/cas/1345-25-1"	"COLORANT"
<http://example.org/cosing/ref/32831>	225	"CI 77499"	"https://identifiers.org/cas/1309-37-1|https://identifiers.org/cas/1345-25-1"	"COLORANT"
<http://example.org/cosing/ref/85417>	224	"EMODIN"	"https://identifiers.org/cas/518-82-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/33282>	221	"DIETHYL PHTHALATE"	"https://identifiers.org/cas/84-66-2"	"HAIR CONDITIONING,FILM FORMING,DENATURANT,SOLVENT,FRAGRANCE,PLASTICISER"
<http://example.org/cosing/ref/37479>	217	"RETINOL"	"https://identifiers.org/cas/11103-57-4"	"SKIN CONDITIONING - MISCELLANEOUS,SKIN CONDITIONING"
<http://example.org/cosing/ref/84520>	212	"ANTIMONY POTASSIUM TARTRATE"	"https://identifiers.org/cas/28300-74-5"	"NOT REPORTED"
<http://example.org/cosing/ref/33260>	212	"DICHLOROMETHANE"	"https://identifiers.org/cas/75-09-2"	"SOLVENT,PERFUMING"
<http://example.org/cosing/ref/76118>	210	"DOCOSAHEXAENOIC ACID"	"https://identifiers.org/cas/25167-62-8"	"ANTISTATIC,SKIN CONDITIONING"
<http://example.org/cosing/ref/34315>	208	"HYALURONIC ACID"	"https://identifiers.org/cas/9004-61-9"	"ANTISTATIC,SKIN CONDITIONING,HUMECTANT,MOISTURISING"
<http://example.org/cosing/ref/83796>	207	"LUTEOLIN"	"https://identifiers.org/cas/491-70-3"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85415>	205	"UNDECANE"	"https://identifiers.org/cas/1120-21-4"	"SKIN CONDITIONING - EMOLLIENT,SKIN CONDITIONING"
<http://example.org/cosing/ref/86440>	204	"NARINGENIN"	"https://identifiers.org/cas/480-41-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/90180>	204	"TRIMETHYLBENZENE"	"https://identifiers.org/cas/95-63-6"	"SOLVENT"
<http://example.org/cosing/ref/88093>	202	"BROMOPHENYL PROPENAMINOETHYL ISOQUINOLINESULFONAMIDE HCL"	"https://identifiers.org/cas/127243-85-0"	"BLEACHING"
<http://example.org/cosing/ref/36948>	200	"POTASSIUM CHLORIDE"	"https://identifiers.org/cas/7447-40-7"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/85042>	199	"CROTONALDEHYDE"	"https://identifiers.org/cas/4170-30-3"	"ANTIOXIDANT,FRAGRANCE,PERFUMING"
<http://example.org/cosing/ref/84489>	199	"POTASSIUM BROMATE"	"https://identifiers.org/cas/7758-01-2"	"OXIDISING"
<http://example.org/cosing/ref/31839>	198	"AMMONIA"	"https://identifiers.org/cas/7664-41-7"	"BUFFERING,FRAGRANCE"
<http://example.org/cosing/ref/84278>	197	"PHENOL"	"https://identifiers.org/cas/108-95-2"	"ANTIMICROBIAL,DEODORANT,DENATURANT,ORAL CARE,PRESERVATIVE,FRAGRANCE"
